user_id,recovery_st_date,last_announcement,last_recovery_daysago
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
182,2015-03-29,2017-10-01 20:31:00,1460
182,2015-03-29,2017-10-01 20:31:00,1460
182,2015-03-29,2017-10-01 20:31:00,1460
182,2015-03-29,2017-10-01 20:31:00,1460
182,2015-03-29,2017-10-01 20:31:00,1460
182,2015-03-29,2017-10-01 20:31:00,1460
256,2017-09-15,2017-09-29 20:53:44,14
444,2017-10-19,2018-11-13 19:28:59,390
444,2017-10-19,2018-11-13 19:28:59,390
444,2017-10-19,2018-11-13 19:28:59,390
444,2017-10-19,2018-11-13 19:28:59,390
444,2017-10-19,2018-11-13 19:28:59,390
224,2017-01-20,2017-05-20 04:05:25,120
349,2019-05-17,2019-06-28 20:16:37,42
349,2019-05-17,2019-06-28 20:16:37,42
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
135,2016-07-19,2018-06-30 13:22:04,730
189,2017-06-20,2017-06-30 13:19:06,10
311,2017-06-24,2017-07-15 18:33:12,21
405,2017-07-01,2017-07-09 20:30:31,8
14,2018-08-22,2018-08-29 18:38:54,7
357,2017-11-22,2019-04-12 09:34:11,547
357,2017-11-22,2019-04-12 09:34:11,547
357,2017-11-22,2019-04-12 09:34:11,547
357,2017-11-22,2019-04-12 09:34:11,547
357,2017-11-22,2019-04-12 09:34:11,547
371,2019-05-20,2019-06-17 19:16:30,28
187,2013-08-13,2014-02-09 22:16:15,180
147,2017-06-07,2017-10-06 01:57:04,121
147,2017-06-07,2017-10-06 01:57:04,121
147,2017-06-07,2017-10-06 01:57:04,121
147,2017-06-07,2017-10-06 01:57:04,121
375,2017-06-23,2019-06-23 14:10:21,730
375,2017-06-23,2019-06-23 14:10:21,730
375,2017-06-23,2019-06-23 14:10:21,730
235,2016-01-11,2018-01-10 15:29:20,730
235,2016-01-11,2018-01-10 15:29:20,730
351,2018-05-15,2019-03-11 00:54:45,300
351,2018-05-15,2019-03-11 00:54:45,300
351,2018-05-15,2019-03-11 00:54:45,300
351,2018-05-15,2019-03-11 00:54:45,300
351,2018-05-15,2019-03-11 00:54:45,300
351,2018-05-15,2019-03-11 00:54:45,300
2,2017-06-10,2018-03-07 13:15:48,270
344,2019-04-22,2019-05-14 08:12:58,22
354,2019-05-06,2019-06-05 05:29:43,30
354,2019-05-06,2019-06-05 05:29:43,30
22,2019-03-11,2019-04-02 16:08:54,22
403,2019-06-06,2019-06-07 15:50:24,1
43,2017-04-06,2019-05-24 02:43:28,730
43,2017-04-06,2019-05-24 02:43:28,730
43,2017-04-06,2019-05-24 02:43:28,730
43,2017-04-06,2019-05-24 02:43:28,730
186,2018-06-15,2018-07-19 19:24:10,30
186,2018-06-15,2018-07-19 19:24:10,30
335,2018-04-09,2019-04-09 21:48:41,365
335,2018-04-09,2019-04-09 21:48:41,365
379,2018-09-23,2019-06-11 20:11:39,270
379,2018-09-23,2019-06-11 20:11:39,270
71,2019-02-02,2019-04-15 19:37:21,72
71,2019-02-02,2019-04-15 19:37:21,72
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
404,2016-12-18,2018-05-23 11:15:58,480
276,2018-10-05,2019-06-02 02:57:17,240
276,2018-10-05,2019-06-02 02:57:17,240
276,2018-10-05,2019-06-02 02:57:17,240
276,2018-10-05,2019-06-02 02:57:17,240
276,2018-10-05,2019-06-02 02:57:17,240
276,2018-10-05,2019-06-02 02:57:17,240
266,2017-07-29,2017-08-02 03:14:32,4
422,2019-02-02,2019-02-15 20:42:56,13
143,2018-07-22,2018-07-26 21:45:00,4
137,2017-06-05,2019-04-23 23:04:35,690
137,2017-06-05,2019-04-23 23:04:35,690
